Address_ID|Ent_ID|Address|City|stateProvince|Country|PostalCode|Remarks|NameSource
10969661|5474849||||France|||
372067|3673563||||Mali|||SECO
372069|3673563||||Algeria|||SECO
11015499|7436825||Anderlecht|Brussels-Capital Region|Belgium|||
12963968|9718920||Lahore|Punjab|Pakistan|||
111593|1081098|Av. President Mobutu|Goma||Democratic Republic of the Congo|||
111594|1081098||Gisenyi||Rwanda|||OFAC
563332|2482313|2 Kazinets Street|Minsk||Belarus|220099||Sanctions
10903672|7303750|20, Baltiiskyi lane|Kyiv||Ukraine|04073||
11980274|8749864||||Philippines|||
11980275|8749864||Jeddah|Makkah Region|Saudi Arabia|||
11980276|8749864||||Saudi Arabia|||
10991019|7406566||||Tajikistan|||
11483777|8257630||||North Korea|||
11485390|7436825||Raqqa|Raqqa Governorate|Syria|||
11487516|8261060||Floridablanca|Santander|Colombia|||
11046894|7475758||Amparo|São Paulo|Brazil|||
10945977|7353070|11, Timura Frunze st.|Moscow||Russia|119021||
10951913|7359972|Opposite to street 20|Baghdad|Baghdad|Iraq|||
10952316|7360315|Al Asal Str.|Baghdad|Baghdad|Iraq|||
10952317|7360315||Mosul|Nineveh|Iraq|||
10954625|7363073||Téhéran||Iran|||
10954626|7363073|Pasdaran St.|Téhéran||Iran|1835||
10954627|7363073|Babaei Highway|Téhéran||Iran|||
11913396|5846649|Rami Street|Damascus||Syria|||
11913397|5846649|Korniche Street|Beirut||Lebanon|||
12404984|9145432|38 Mikhalkovskaya street|Moscow||Russia|125438||
12407554|7011927|KM 5 Vía antigua Villavicencio|Acacias|Meta|Colombia|||
12408495|9148826||Priladozhskiy|Leningrad region|Russia|187326||
12857448|1868581|Nelson Mandela (Africa) Blvd|Tehran|Tehran Province|Iran|||
10674765|7036527||Lackawanna|New York|United States|||
11028405|7453728|Dhunat Upazila, Bogra||Rajshahi Division|Bangladesh|||
11029978|2324629|||Istanbul|Turkey|||
11037992|7466346|||Maharashtra|India|||
11491420|5947893|11, Timura Frunze str.||Moscow|Russia|119021||
11496272|7302805||Tbilisi||Georgia|||
11937114|8715363||Bonn|North Rhine-Westphalia|Germany|||
11869467|53048|Avenida. Libertador con calle El Empalme|Caracas|Distrito Capital|Venezuela|||
11869468|53048|1293 Eldridge PKWY|Houston|Texas|United States|77077||
11869469|53048|4401 Highway 108 South|Sulphur|Louisiana|United States|70601||
11869470|53048|Edificio Petroleos de Venezuela, Torre Oeste|Caracas|Distrito Capital|Venezuela|1010||
300301|2446722|North Sohrevardi Avenue|Tehran|Tehran Province|Iran|1576935561||
11809312|8582981|Calle 39 A No. 18-29|Montería|Córdoba|Colombia|||
12285750|9051576|10, Presnenskaya naberezhnaya|Moscow||Russia|123112||
10648313|203635||||Tunisia|||
10970521|7382193|Pasdaran Av.|Téhéran||Iran|||
10972401|7384515||Bari|Puglia|Italy|||
11528772|8297133|Ashdale|Coleraine|Northern Ireland|United Kingdom|||
11544449|8310151|10-D, Blessgo Industrial Park||Beijing|China|101601||
11544450|8310151|10-D Blessgo Industrial Park|Sanhe|Hebei Province|China|||
11544493|8310201|Dolat Street No. 3|Tehran|Tehran|Iran|||
12523654|7187800|||North Waziristan|Pakistan|||
12523655|7187800||||Somalia|||
11058895|7496112|725 Fifth Avenue|New York|New York|United States|||
11072729|7512867|||Chechen Republic|Russia|||
11072735|7512874|||Chechen Republic|Russia|||
12021675|2405810|Ozerkovskaya nab, 30|Moscow|Moscow|Russia|115184||
562939|5709473||||Syria|||US-INKS
566540|5722048||Green Township|Ohio|United States|||
569196|5730222|Avenida Intercomunal|Cabimas|Zulia|Venezuela|||
569720|5731837|Av. Alirio Ugarte Pelayo|Maturín|Monagas|Venezuela|||
570102|5733273|Base la Leona - Base Oritupano||Anzoátegui|Venezuela|||
10898074|7201404|d.14 shosse Entuziastov|Moscow|Moscow Oblast|Russia|111024||
11985947|8754010||||Colombia|||
12952135|9706861||||Colombia|||
12956404|9711298||Faisalabad|Punjab|Pakistan|||
10982239|7396547||Darnah||Libya|||
10982248|7396554||||Kuwait|||
10982903|7396554|||Najd Region|Saudi Arabia|||
10982904|7396554|||Najd Region|Saudi Arabia|||
10991284|7406850|||Sughd region|Tajikistan|||
10991450|7406986|||Soghd region|Tajikistan|||
11964903|8738448|||province du Katanga|Democratic Republic of the Congo|||
10946961|7354380|5, 1st Derbenevskiy lane|Moscow||Russia|115114||
10952179|7360191||Mosul|Nineveh|Iraq|||
10954139|7362531||Mosul|Nineveh|Iraq|||
10954342|7362765||Mosul|Nineveh|Iraq|||
10955565|7364335|Al Jumhoria Str.|Mosul|Nineveh|Iraq|||
11436157|8207579||Damascus|Damascus Governerate|Syria|||
11439384|158017|16, Namyetkina st.|Moscow|Moscow|Russia|117991||
11439385|158017|101, Vernadskogo av.|Moscow|Moscow|Russia|119526||
11439386|158017|14 Cornhill|London|London|United Kingdom|EC3V 3ND||
11439387|158017|12 Presnenskaya emb.|Moscow|Moscow|Russia|123100||
11439388|158017|29, Bolshaya Morskaya st.|Saint Petersburg|Leningrad|Russia|190000||
11439389|158017|6, Lenina st.|Mirnyy|Sakha Republic|Russia|678175||
12405038|9145492|38 Mikhalkovskaya street|Moscow||Russia|125438||
12406999|457616|ul. Vavilova, 19|Moscow|Moscow Oblast|Russia|117997||
12408308|9148657|103 Frunze street|Tomsk|Tomsk region|Russia|634021||
12408419|9148759||Priladozhskiy|Leningrad region|Russia|187326||
12408595|9148934|37a Leningradskiy prospekt|Moscow||Russia|125167||
12408984|7346015|Rákóczi út 1-3.|Budapest||Hungary|1088||
12411473|9151899|37a Leningradskiy prospekt|Moscow||Russia|125167||
10677444|7039609||||Lebanon|||
11487659|7272249|Tower Business Centre, Tower Street||Central|Malta|BKR 4013||
11490520|2481755||Diyala|Diyala Governorate|Iraq|||
11496702|5977174||||Georgia|||
12445309|7369288|6 Kislovskiy Lane|Moscow||Russia|125009||
10921576|7325270||Tel as-Sabi|Negev|Palestina|||
10921678|7325393|Katy|Fort Bend County|Texas|United States|||
11300286|4518476||Barrancabermeja|Santander|Colombia|||
11801310|8573847|Mastung District||Balochistan|Pakistan|||
10959463|7369288|4, Romanov lane|Moscow||Russia|125009||
10966777|7234720|27 Pindarou st.,|Nicosia|Nicosia|Cyprus|1060||
11018621|7440450||||Tajikistan|||
117143|1531347||Babylon||Iraq|||
11067583|5803898|||Gouvernorat de Deir ez-Zor|Syria|||
11067584|5803898||||Iraq|||
11071403|1992113|Parchin||Tehran Province|Iran|||
11559747|8328384|Kilometro 12|Yopal|Casanare|Colombia|||
12530453|5763649|Avenida Constitucion Nro. 303 Sector 23 de Enero|Maracay|Aragua|Venezuela|||
570182|5734174|Av. Libertador cruce con entrada principal Urb. Marazuata|Pariaguán|Anzoátegui|Venezuela|||
11466196|8237093||Magangué|Bolívar|Colombia|||
11466197|8237093||Tiquisio|Bolívar|Colombia|||
11980186|8749897||Boosaaso||Somalia|||
12952000|9706730||||Colombia|||
10980329|7394390|||Tyne and Wear|United Kingdom|||
11962188|5967014||Larnaca|Larnaca District|Cyprus|||
12498064|5516203|Calle 51 con 7c|Manizales|Caldas|Colombia|||
12930608|9685738|Kilómetro 3 Vía Vereda las Guacas|Popayán|Cauca|Colombia|||
267325|203252|Corso Lodi 59 |Milan||Italy|||
11047653|7477886|Maghbazar||Dhaka Division|Bangladesh|||
11047990|7478311|Jigatola|Dhaka|Dhaka|Bangladesh|||
11055908|7325393||||Venezuela|||
10814889|7196573|1, Lampousas|Nicosia|Nicosia|Cyprus|1095||
11897990|1728998|Av. Lecuna|Caracas|Libertador|Venezuela|||
11897991|1728998|Av. Universidad|Caracas|Distrito Capital|Venezuela|||
12441664|7349066|Buyukdere Caddesi No. 141, Kat. 14|Esentepe - Sisli/Istanbu||Turkey|34394||
12443206|7234720|2-4 Arch. Makariou III Avenue|Nicosia||Cyprus|1065||
10945930|7353023|90, Krasnyy klyuch Community|Baykalsk|Irkutsk Region|Russia|665932||
10946883|5948239|52, Kosmodamianskaya emb., bld.2|Moscow||Russia|115054||
10946905|7354309|12/1 Dostyk Street, VPZ|Astana||Kazakhstan|010000||
10949676|7262711|||Al Barakah Governorate|Syria|||
10955336|7364055||Mosul|Nineveh|Iraq|||
10956370|7365341||Téhéran||Iran|||
11430493|7315120|Calle 22B No. 4 - 12|Moñitos|Córdoba|Colombia|||
11434116|7315120||Sabanalarga|Atlántico|Colombia|||
12409449|9149730|37a Leningradskiy prospekt|Moscow||Russia|125167||
10683392|1867006||||Colombia|||
10919060|7310790||Brussels|Brussels-Capital region|Belgium|||
11369885|476661|30th Avenue|||United States|||
12390209|8310198||||China|||
12871654|7108502||||Kuwait|||
299093|2444139|Industrial Zone, Al- Qadam Road|Damascus||Syria||P.O. Box 35202|
11960478|8735229|Jinah-Hafez Al Asad Street|Beirut|Beirut Governorate|Lebanon|||
11960479|8735229|Hafez Al Assaad Street|Baabda|Mount Lebanon Governorate|Lebanon|||
11960480|8735229|Hafez Al Assaad Street|Baabda|Mount Lebanon Governorate|Lebanon|||
11960496|8735243||Monrovia|Montserrado County|Liberia|||
12920199|9675270||||Colombia|||
12920200|9675270||||Colombia|||
361599|3623871|Rukn Addin Saladin Street|Damascus||Syria|||
361614|3624022|Aleppo Street|Damascus|Damascus Governorate|Syria|||
11544487|8310198|No. 1724, Xiao Ying Rd|Beijing||China|||
12965863|9720661|Transversal 25 No 31-116|Cali|Valle del Cauca|Colombia|||
11058898|7496116|725 Fifth Avenue|New York|New York|United States|||
12996725|9700592||||Colombia|||
561433|5704104|Av. Gran Mariscal de Ayacucho Parcela|Cagua|Aragua|Venezuela||Teléfono(s): +58 (244) 3954113 / (244) 3954251 / Fax: (244) 3954462|
10896104|7294649||||Libya|||
11985951|8754014||||Colombia|||
12945282|9700341||||Colombia|||
12945319|9700341||Bogotá|Cundinamarca|Colombia|||
12947795|2085019||Tehran||Iran|||
12955120|9709866|No 1, Laleh Dd End, Azadegan St.|Tehran|Tehran Province|Iran|||
12955150|9709915|Avenida Panamericana Vía el Salado|Cúcuta|Norte de Santander|Colombia|||
12956688|2620419|2 Zvenigorodskaya St. 13-42|Moscow|Moscow|Russia|123022||
12956689|2620419|Dovzhenko Ulitsta, 1|Moscow|Moscow Oblast|Russia|119590||
11483474|8257217|||Antioquia|Colombia|||
11046892|7475745||Campos de Júlio|Mato Grosso|Brazil|||
11046907|7475745|Avenida Doutor Paulo Alcides Prates da Fonseca, 542|Vila Bela da Santíssima Trindade|Mato Grosso|Brazil|78245-000||
11047967|7478282||Dhanmondi|Dhaka|Bangladesh|||
11997961|8767853||||South Africa|||
11998750|8768953|Carrera 16 4-34|Ocaña|Norte de Santander|Colombia|||
10819285|5947890|6, Vorobyevskoe shosse||Moscow|Russia|119285||
11419303|2620419|30/26, Gogol/Kaldayakov Street|Almaty|Almaty|Kazakhstan|050059||
11419304|2620419|19, Vavilova st.|Moscow|Moscow|Russia|117997||
11424303|8186090||Cartagena|Bolívar|Colombia|||
11896606|7714780||||Sudan|||
12430854|9171357|Nauchnyy Proyezd, 20|Moscow||Russia|117246||
12431937|5947890|25a,Marshal Krylov Blvd.|Odintsovo|Moscow Region|Russia|143005||
12438525|9178996|Sadovnicheskaya Embankment|Moscow||Russia|115035||
12441525|9181903|Rüzgarlıbahçe Mahallesi Kavak Sokak İmpa İş Merkezi No:12/7|İSTANBUL||Turkey|34805||
590912|5801312|Dudh Naka, Nr. Pakija Laundry, Jama Masjid Galli, Bandar Road, Kalyan (W)|Thane|Maharashtra|India|||
10949695|7357610||Sheikh Zuweid|North Sinai|Egypt|||
10953431|7361856||Ramadi|Al Anbar|Iraq|||
10953807|7362226||Fallujah|Anbar|Iraq|||
10953952|7362356||Mosul|Nineveh|Iraq|||
10954133|7362526||Mosul|Nineveh|Iraq|||
10958074|7367570|Juzagos de Managua, contigo a Palí, 1C. abajo, 300 mts al lago|Managua|Managua|Nicaragua|||
10959396|7369193|4, per. Romanov, apt. 2|Moscow||Russia|125009||
11432957|8198414||Cotonou|Littoral|Benin|||
11433341|8198414||Beirut|Beirut|Lebanon|||
11440270|8211218||Yalí|Antioquia|Colombia|||
11908585|8687788|||Kasserine Governorate|Tunisia|||
12405224|9145678|19 Vavilova street|Moscow||Russia|117997||
12405656|7415819|P.O. Box 620|Gladbeck||Germany|45956||
12409737|9150024|Vavilov street|Moscow|Moscow|Russia|117997||
11034380|7461447||Johannesburg|Gauteng|South Africa|||
11034497|7151999||Brussels|Brussels|Belgium|1080||
11037842|7466142|||Kakheti|Georgia|||
11502432|8274373||New York City|New York|United States|||
529463|1868100||Damascus|Damascus Governorate|Syria|||
10912976|7314428||Hawalli|Hawalli Governorate|Kuwait|||
12875246|9624441|37, Varshavskiye hwy|Moscow||Russia|131000||
12875247|9624441|19, Vavilova st.|Moscow||Russia|117997||
11288158|7785950|Carrera 56 No.18 A 47|Bogotá|Cundinamarca|Colombia|||
11291511|1867349|||Takhar Province|Afghanistan|||
11292514|3654966|||Khost Province|Afghanistan|||
11292515|3654966|||North Waziristan|Pakistan|||
11805347|5948082||||Cayman Islands|||
10959436|7369242|Romanov lane 4|Moscow|Moscow|Russia|125009||
10963652|7374158|3rd Km of Khalaj Road|Mashad||Iran|91638||
10963653|7374158|Km 4 of Khalaj Road|Mashad||Iran|||
10963654|7374158||Mashad||Iran|||
10963655|7374158|Khalaj Rd.|Mashad||Iran|||
10963657|7374158|Pasdaran Cross Rd.|Téhéran||Iran|||
10972148|7365247|28 km Ispahan - Téhéran Freeway|Shahin Shahr|Ispahan|Iran|||
10972149|7365247||Ispahan||Iran|||
10972150|7365247||Ispahan||Iran|||
10972151|7365247|No. 107 Sepahbod Gharany Ave|Téhéran||Iran|||
10972156|7365247|N°27 Ahahamat Ave|Téhéran||Iran|15946||
11950056|5702410|Avenida Intercomunal Via Acarigua|Cabudare|Lara|Venezuela|||
11953886|8729872||Santa Marta|Magdalena|Colombia|||
11955847|8731642||Mönchengladbach|North-Rhine Westphalia|Germany|||
11959404|8734516||Cologne|North Rhine-Westphalia|Germany|||
12478228|17628|2 Balchug St|Moscow|Central Federal District|Russia|115035||
12478229|17628|5 Nobelya str|Moscow|Central Federal District|Russia|121205||
12478230|17628|Keilalahdentie 2-4|Espoo|Uusimaa|Finland|02150||
12478231|17628|Mannerheimintie 30|Helsinki|Uusimaa|Finland|00102||
12478232|17628|Arkadiankatu 2|Helsinki|Uusimaa|Finland|FI-00101||
12478234|17628|Ved Stranden 18|Copenhagen|Øresund|Denmark|1061||
12478235|17628|Snellmaninkatu 1 A|Helsinki|Uusimaa|Finland|FI-00023||
12478236|17628|Avenue de l'Europe|Strasbourg|Grand Est|France|F-67075||
12478237|17628|Salmisaarenranta 11|Helsinki|Uusimaa|Finland|00180||
12478557|17628|Apollonkatu 11 a|Helsinki|Uusimaa|Finland|00100||
12915576|1543746|ulitsa Vavilova, 19|Moscow|Moscow|Russia|117997||
11021984|7445552||Bingöl|Bingöl|Turkey|||
592188|5805004|||Lampung|Indonesia|||SECO
592189|5805004||Jakarta||Indonesia|||SECO
592190|5805004||Semarang||Indonesia|||SECO
592191|5805004||Yogyakarta||Indonesia|||SECO
592192|5805004||Solo||Indonesia|||SECO
592193|5805004||Surabaya||Indonesia|||SECO
592194|5805004||Makassar||Indonesia|||SECO
10950318|7358085||Kirkuk|Kirkuk|Iraq|||
10951860|7359923||Kirkuk|Kirkuk|Iraq|||
10954220|7362629|Cinema Str.|Ramadi|Al Anbar|Iraq|||
10955517|7364276||Mosul|Nineveh|Iraq|||
10955605|7364374||Mosul|Nineveh|Iraq|||
12408130|9148491|37a, Leningradskiy prospekt|Moscow||Russia|125167||
12409970|9150270|9 Montazhnaya street|Moscow||Russia|107497||
12412026|9152469|6 Mulyavina boulevard|Minsk|Minsk region|Belarus|220005||
491771|1928278||Beirut||Lebanon|||
492141|5349679||||Afghanistan|||SECO
492151|204881|||Punjab|Pakistan|||SECO
494167|204881||Karachi||Pakistan|||SECO
10683635|7046872||Rutherford|New Jersey|United States|||
11027908|7453120||Lens|Hauts-de-France|France|||
11495484|1928278|||Beqaa Valley|Lebanon|||
11495485|1928278|||Southern Lebanon|Lebanon|||
11502835|8274695||Montería|Córdoba|Colombia|||
10921464|7202632||Miami|Florida|United States|||
10921548|7325236||Be'er Sheva|Negev|Palestina|||
11804116|8577234||Huddersfield|England|United Kingdom|||
12283125|9048926|Cra. 8 No. 1 - 49|Ipiales|Nariño|Colombia|||
12283179|9048960||Tehran|Tehran|Iran|||
10960229|7370283||Bulciago|Lombardy|Italy|||
11953960|761078||||Venezuela|||
365732|3645284|No. 24, 5th Alley|Tehran|Tehran province|Iran|1513643811||
10659439|5433784|26/1, Sofiyskaya embankment|Moscow||Russia|117997||
11019381|5033913||Mosul||Iraq|||
11543786|8309498|||Hasaka Governorate|Syria|||
112633|322001|2A Hasiba Brankovica|Sarajevo||Bosnia and Herzegovina||Branch Address|
112634|322001|14 Bihacka Street|Sarajevo||Bosnia and Herzegovina|||
112635|322001|64 Potur mahala Street|Travnik||Bosnia and Herzegovina|||
112641|322010|Jan Hanzenstraat 114|Amsterdam||Netherlands|1053SV||SECO
11059054|7496172|Mostafapur, Moulvibazar||Sylhet Division|Bangladesh|||
11062105|1344610|Glengormley||Northern Ireland|United Kingdom|||
11555635|8324976||Pulsnitz|Saxony|Germany|||
11555636|8324976||Baghdad|Baghdad|Iraq|||
12023143|8788771||||Egypt|||
562978|5709408||||Russia|||
10896022|7294577||||Libya|||
11458971|2081298||Ob-4|Novosibirsk Region|Russia|633104||
12951857|1964880||||Colombia|||
11479295|8253478||Benghazi|Cyrenaica|Libya|||
11480437|8252601||||Iraq|||
11962077|761078||||United States|||
11965946|3871729||||United States|||
11045516|7474103|Rawda Street|Damascus|Damascus Governorate|Syria|||
11045517|7474103||Damascus|Damascus Governorate|Syria|||
11508531|8274695||Bogotá|Cundinamarca|Colombia|||
11514932|8274763||Bogotá|Cundinamarca|Colombia|||
11514948|8274870||Bogotá|Cundinamarca|Colombia|||
11515194|8285025||||Colombia|||
12972326|8861035|Av. Libertador|Distrito Metropolitano de Caracas|Distrito Capital|Venezuela|169||
10815173|1868539|North Felestine Avenue|Tehran|Tehran Province|Iran|||
10818055|7201521|68 Sampsonievsky Avenue|Saint Petersburg||Russia|194100||
10818899|7202632||Coral Gables|Florida|United States|||
589800|203837||||Somalia|||SECO
589801|203837||||Ethiopia|||SECO
595891|5818207|Tayyouneh-Bdeir Building|Beirut|Beirut Governorate|Lebanon|||
10953683|7362096||Al Qa'im|Anbar|Iraq|||
10954152|7362546|Main Str.|Ramadi|Al Anbar|Iraq|||
11438141|8209334|Room 2301, Building 6, Lane 1139|Shanghai||China|||
11438142|8209334|118 Rijing Rd Sixth Floor, Rm 6090|||China|||
11440201|8211156||Yalí|Antioquia|Colombia|||
11440948|40971|19, Vavilova St.|Moscow|Moscow Oblast|Russia|117997||
11440949|40971|141, Buyukdere Street|Esentepe|Istanbul|Turkey|34394||
11913814|8693394||Norosi|Bolívar|Colombia|||
11913815|8693394||Aguachica|Cesar|Colombia|||
12400372|9140686||Terrasa|Cataluña|Spain|||
12405638|9146009|78a Sakko i Vantsetti street|Voronezh|Voronezh region|Russia|394036||
12407525|9104668||Maripi|Boyaca|Colombia|||
12411429|9151850|37a Leningradskiy prospekt|Moscow||Russia|125167||
492465|71605||||Indonesia|||UN-SC-1267
492466|71605||||Malaysia|||UN-SC-1267
492467|71605||||Philippines|||UN-SC-1267
11495261|203194||||Algeria|||
12443433|9183627|6 Zhukovskogo Street|Dolgoprudnyy|Moscow Region|Russia|141707||
12849277|9531583||||Iraq|||
12386892|1870512||||Iraq|||
12876281|7201588|42 Bolshaya Yakimanka St.||Moscow|Russia|119049||
11296431|7369380|||Province du Nord-Kivu|Democratic Republic of the Congo|||
11299824|7796420|Côté ouest de la rue Dabestan|Tehran||Iran|||
12913060|9664586||Lahore|Punjab|Pakistan|||
10961867|1955944||||North Korea|||
10962460|7372774|Kilometer 28, Esfahan-Tehran Freeway|Shahin Shahr|Ispahan|Iran|||
10970616|7382348|Aleppo Street|Damas||Syria|||
363886|3634280|||Federal Administered Tribal Areas|Pakistan|||
369360|2595239|4 Lake Road|Lahore||Pakistan|||
11537512|1607149|19, Vavilova st.|Moscow||Russia|117997||
11539446|5731878|Av. 3C y 3D|Maracaibo|Zulia|Venezuela|||
11545567|8311321|Ferdowsi Ave,|Tehran City|Tehran Province|Iran|||
12012612|1935274|Pasadaran Av.|Tehran|Tehran Province|Iran|||
106798|401963||Geneva||Switzerland|||OFAC
111652|1091694|Pasdaran Avenue|Tehran||Iran|||
117572|181441|Jalan Laut Sulawesi Blok DII/4|Jakarta Timur||Indonesia|13440||
10700501|7066695|||Lattika Governorate|Syria|||
11559756|8328394|Kilometro 12|Yopal|Casanare|Colombia|||
12993018|9140686||||Bulgaria|||
568495|5727355|Uttar Rayerbagh, Jatrabari|Dhaka|Dhaka Division|Bangladesh|||
11047883|7478155|Chaknadhra, Shibganj|Chapai Nawabganj|Rajshahi|Bangladesh|||
11511676|8282023|Nauchnyy Prospekt, 19|Moscow|Moscow|Russia|117246||
11511677|8282023|Sudostroitelnaya, 15|Moscow|Moscow|Russia|115470||
11512922|8283084||||Colombia|||
12505595|9247421|Korniche Mazraa Street|Beirut|Beirut Governorate|Lebanon|||
12505596|9247421|Grand Hills/GF Al Khansa St.|Beirut|Beirut Governorate|Lebanon|||
